Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,RespectY,RespectN,RespectO,AngerY,AngerN,AngerO,SadnessY,SadnessN,SadnessO,StressY,StressN,StressO,WorryY,WorryN,WorryO,PainY,PainN,PainO,EnjoymentY,EnjoymentN,EnjoymentO
69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,93,7,0,34,66,0,40,60,0,58,42,0,45,55,0,31,68,0,73,27,0
40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05,92,7,2,17,83,0,13,86,1,22,78,0,23,77,0,15,85,0,73,26,1
66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,96,4,0,9,91,0,27,73,0,41,59,0,59,41,0,36,64,0,61,38,0
29,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167,,,,,,,,,,,,,,,,,,,,,
48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005,91,7,2,19,80,0,28,72,1,43,56,1,42,57,1,40,59,0,74,24,2
68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,87,8,5,13,86,1,22,77,1,17,82,1,25,75,1,25,74,1,67,31,3
152,Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,84,15,2,17,83,0,28,71,0,52,47,0,47,53,0,44,56,0,77,23,0
28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,91,9,0,26,74,0,23,77,0,36,64,0,37,63,0,37,63,0,73,27,0
111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,87,13,0,18,80,1,19,79,2,36,63,1,37,63,1,48,51,1,59,38,3
70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,85,12,3,22,75,3,20,78,2,30,68,2,45,54,1,29,70,1,56,41,3
129,Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,81,19,0,36,63,1,46,52,1,51,48,1,56,44,1,62,38,0,41,58,1
34,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,95,5,0,7,93,0,7,93,1,29,70,0,19,81,0,23,77,0,73,25,2
38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,85,12,3,24,75,1,17,82,1,38,62,0,34,64,1,28,72,0,78,21,1
44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,94,6,0,16,84,0,16,84,0,34,66,0,50,50,0,25,75,0,59,41,0
112,Somalia,4.668,0,0.698,0.268,0.559,0.243,0.27,,,,,,,,,,,,,,,,,,,,,
106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,88,12,0,20,80,0,26,74,0,37,63,0,38,62,1,32,68,0,75,24,1
54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056,70,24,6,16,84,0,14,85,0,34,65,0,35,65,0,24,76,0,60,37,3
156,South Sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091,,,,,,,,,,,,,,,,,,,,,
30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,88,11,0,30,69,0,29,71,0,34,65,0,48,52,0,33,67,0,64,35,0
130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,87,11,2,28,72,0,33,67,0,55,44,0,30,68,2,43,56,0,75,24,1
135,Swaziland,4.212,0.811,1.149,0,0.313,0.074,0.135,90,10,0,20,79,1,24,76,0,32,67,0,32,68,0,37,63,0,81,18,1
7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,95,4,0,10,90,0,12,86,2,29,71,0,26,74,0,17,83,0,86,14,1
6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,95,5,1,13,87,0,17,83,0,28,71,0,27,73,0,21,79,0,80,20,0
149,Syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141,,,,,,,,,,,,,,,,,,,,,
25,Taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097,92,7,1,11,89,0,5,95,0,28,72,0,12,88,0,15,85,0,84,16,1
74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,93,5,2,20,80,1,20,80,0,28,72,1,26,73,1,27,72,0,61,38,1
153,Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,81,18,0,15,85,0,27,73,0,57,43,0,24,75,0,40,60,0,71,29,0
52,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,88,10,2,14,86,0,13,87,0,23,77,0,32,67,1,30,70,0,83,16,1
139,Togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,73,25,2,36,62,2,37,62,1,35,61,4,58,41,2,51,47,2,49,46,5
39,Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016,,,,,,,,,,,,,,,,,,,,,
124,Tunisia,4.461,0.921,1,0.815,0.167,0.059,0.055,91,8,1,35,64,1,17,81,1,50,49,1,57,43,0,43,57,0,49,48,3
79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,80,18,2,40,58,1,32,68,1,52,48,0,31,67,1,24,75,1,44,53,4
87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,86,12,1,12,86,2,20,79,1,10,89,1,24,74,2,22,76,2,48,50,2
136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,72,28,1,31,68,1,39,60,1,53,47,1,46,54,0,45,54,0,61,39,0
133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,84,9,7,15,83,2,22,75,3,18,80,2,28,69,3,30,68,2,58,37,5
21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,95,5,0,29,71,0,25,75,0,44,56,0,37,63,0,27,73,0,75,24,1
15,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,90,10,1,14,86,0,21,79,0,34,66,0,34,66,0,21,79,0,83,17,0
19,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128,90,9,0,22,78,0,21,79,0,55,45,0,45,55,0,33,67,0,,,
33,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,97,3,0,13,87,0,24,76,0,38,61,0,46,54,0,36,64,0,86,13,1
41,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24,97,3,0,24,75,0,18,82,0,13,87,0,20,80,0,24,75,0,85,14,1
108,Venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,94,6,0,24,76,0,34,65,1,52,48,0,53,46,0,38,62,0,72,28,0
94,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,91,8,1,14,86,0,18,81,0,18,81,1,25,74,0,14,85,1,54,44,3
151,Yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,84,14,2,23,75,2,23,76,1,33,65,2,47,52,1,40,60,0,44,55,2
138,Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,85,15,0,27,73,0,34,66,0,39,61,1,44,54,1,38,62,0,65,34,1
146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,87,13,0,11,89,0,21,79,0,30,70,0,32,68,0,29,71,0,61,39,0
